Code,CodeFrequency,RepresentativeDescription,RepresentativeType,RepresentativeMri
250604,19,Ink trap vacuum sensor 02B09 activation,MRE,//system/printer/02 INK/Air pressure/Inkmodule
250806,19,Waste Buffer Reservoir liquid level ADC out of range detected at 02B53,MRE,//system/printer/02 INK/Waste/0-1
250014,18,Inconsistent ink level,MRE,//system/printer/02_INK/M
250607,14,Underpressure at 02PBA03 too low,MRE,//system/printer/02 INK/Air pressure/Inkmodule
290614,14,Ambient pressure at 02B10 too low,Warning,//system/printer/02 INK/Air pressure/Inkmodule
251301,12,Buffer reservoirs level guard 02PBA06 protection activated,MRE,//system/printer/02 INK/Level guard
290035,12,Ink recirculation too long not possible,Warning,//system/printer/02_INK/W
250503,7,Flush liquid reservoir level too high,MRE,//system/printer/02 INK/AML
290033,5,Cannot write to RFID tag; RFID was changed while writing liquid consumed,Warning,//system/printer/02_INK/C
250504,4,Flush liquid reservoir level ADC out of range detected at 02B07 / 02B08,MRE,//system/printer/02 INK/AML
250808,4,Bag in Box present but not configured,MRE,//system/printer/02 INK
250015,2,INK_PUMP_MO version not supported,MRE,//system/printer/02_INK/K
250019,2,Cannot write to RFID tag,MRE,//system/printer/02_INK/K
250206,2,Ink buffer reservoir level too high,MRE,//system/printer/02 INK/Buffer reservoir/2
250609,2,Overpressure flush liquid reservoirs at 02PBA05 out of range,MRE,//system/printer/02 INK/Air pressure/Inkmodule
290204,2,Buffer pump flow too high,Warning,//system/printer/02 INK/Buffer reservoir/0
250605,1,Overpressure at 02B10 too low,MRE,//system/printer/02 INK/Air pressure/Inkmodule
271108,1,Depressurizing BPRs timeout,ORE,//system/printer/02 INK/Air pressure/BPR/012
